Frame_name,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y
0002.png,716.9998779296875,892.00048828125,1111.0010986328125,942.9998168945312,1317.999755859375,861.9989624023438,1363.0,948.0001220703125
0003.png,712.2697143554688,892.4947509765625,1107.14599609375,943.1588134765625,1313.963134765625,861.9598999023438,1359.1473388671875,947.9978637695312
0004.png,708.9286499023438,892.3367309570312,1103.3717041015625,943.0018310546875,1310.30615234375,861.8145751953125,1355.27734375,947.963623046875
0005.png,705.2097778320312,892.6624755859375,1099.8231201171875,942.6918334960938,1306.654296875,861.7623291015625,1351.724609375,947.686767578125
0006.png,702.1875610351562,892.1499633789062,1097.4891357421875,942.2750854492188,1304.3896484375,861.5673217773438,1349.342529296875,947.18701171875
0007.png,702.1417236328125,892.1203002929688,1097.48388671875,942.302490234375,1304.392578125,861.5696411132812,1349.3492431640625,947.184814453125
0008.png,701.5021362304688,890.7735595703125,1096.5318603515625,941.2791137695312,1303.4544677734375,860.7964477539062,1348.3582763671875,946.187744140625
0009.png,700.8849487304688,889.6976318359375,1095.9425048828125,939.8753051757812,1302.8067626953125,859.6091918945312,1347.927001953125,944.6590576171875
0010.png,700.5938110351562,888.3984375,1095.4859619140625,938.62939453125,1302.66015625,858.4680786132812,1347.6947021484375,943.46923828125
0011.png,699.991455078125,887.390380859375,1094.7340087890625,937.5072021484375,1302.1986083984375,857.3190307617188,1347.1544189453125,942.29833984375
0012.png,700.0184326171875,886.8998413085938,1094.713134765625,937.5392456054688,1302.2838134765625,857.27392578125,1347.1617431640625,942.2940673828125
0013.png,699.734375,885.8150024414062,1094.6368408203125,936.917236328125,1302.230224609375,856.656005859375,1347.160400390625,941.703369140625
0014.png,700.1605834960938,885.3558349609375,1094.8529052734375,936.8504028320312,1302.302001953125,856.3057861328125,1347.6484375,941.678955078125
0015.png,700.6762084960938,885.1089477539062,1095.7176513671875,937.1110229492188,1302.961181640625,856.005126953125,1348.6451416015625,941.9093627929688
0016.png,702.1740112304688,884.9759521484375,1096.7969970703125,937.0825805664062,1304.17138671875,856.3980712890625,1349.6461181640625,941.9100341796875
0017.png,702.1734619140625,884.9725952148438,1096.7991943359375,937.08203125,1304.1708984375,856.3971557617188,1349.646240234375,941.9100341796875
0018.png,703.1727294921875,885.3646850585938,1098.249267578125,937.08349609375,1305.61767578125,856.4209594726562,1351.154296875,941.9091796875
0019.png,704.6255493164062,885.3214721679688,1099.65673828125,937.1025390625,1306.9100341796875,856.4305419921875,1352.6375732421875,941.9095458984375
0020.png,706.4656372070312,885.9196166992188,1102.1685791015625,937.55615234375,1309.3504638671875,856.7373657226562,1354.8961181640625,942.4321899414062
0021.png,710.03515625,886.13134765625,1105.6290283203125,939.1407470703125,1312.8414306640625,858.5482788085938,1358.4326171875,944.0459594726562
0022.png,710.1175537109375,885.9915161132812,1105.6268310546875,939.14208984375,1312.8416748046875,858.5484008789062,1358.1788330078125,944.0499267578125
0023.png,713.3886108398438,889.08349609375,1108.9058837890625,941.5073852539062,1316.3121337890625,861.0529174804688,1361.6649169921875,946.39111328125
0024.png,715.8660278320312,889.5357055664062,1111.4241943359375,943.3491821289062,1318.7490234375,863.0704345703125,1364.1676025390625,948.372314453125
0025.png,717.2899169921875,891.2398071289062,1112.49462890625,944.4345092773438,1319.394775390625,863.2029418945312,1365.3492431640625,949.4580078125
0026.png,717.8272705078125,892.7067260742188,1112.9107666015625,946.225830078125,1320.0098876953125,864.4342651367188,1365.77197265625,951.1640014648438
0027.png,717.8331298828125,892.699462890625,1112.8831787109375,946.2311401367188,1320.0107421875,864.4373168945312,1365.7701416015625,951.1644897460938
0028.png,718.0247802734375,895.3839111328125,1112.8555908203125,949.0260009765625,1320.3175048828125,867.31591796875,1365.637451171875,953.8530883789062
0029.png,717.783447265625,898.3495483398438,1112.5223388671875,952.2123413085938,1319.8009033203125,870.7509155273438,1365.3834228515625,957.1666870117188
0030.png,717.3065795898438,901.3516845703125,1112.2296142578125,955.20654296875,1319.6268310546875,873.9427490234375,1364.99755859375,960.1748046875
0031.png,716.5950317382812,903.5784301757812,1111.5301513671875,957.2138061523438,1318.8555908203125,875.6918334960938,1364.2939453125,962.2648315429688
0032.png,716.5770263671875,903.6227416992188,1111.5406494140625,957.2133178710938,1318.8758544921875,875.6541748046875,1364.2890625,962.2735595703125
0033.png,716.0235595703125,904.9066162109375,1110.5589599609375,958.1640014648438,1318.057373046875,876.6249389648438,1363.2735595703125,963.1384887695312
0034.png,715.3323364257812,905.5404052734375,1109.4080810546875,958.1073608398438,1316.84423828125,876.3922119140625,1361.9813232421875,962.998291015625
0035.png,713.6785278320312,905.349853515625,1107.7547607421875,957.8246459960938,1315.3338623046875,876.4983520507812,1360.51220703125,962.69189453125
0036.png,712.1437377929688,904.5820922851562,1106.0570068359375,957.5785522460938,1313.4593505859375,876.114990234375,1358.72119140625,962.4900512695312
0037.png,712.1275634765625,904.6051635742188,1106.0885009765625,957.5735473632812,1313.4547119140625,876.151123046875,1358.724365234375,962.4872436523438
0038.png,710.5796508789062,904.462158203125,1104.2117919921875,956.9437866210938,1311.6279296875,875.5628051757812,1356.6878662109375,961.759033203125
0039.png,709.1478271484375,903.6634521484375,1102.584228515625,955.6505126953125,1310.027587890625,874.6913452148438,1354.9193115234375,960.5812377929688
0040.png,707.2093505859375,901.8372192382812,1101.143798828125,954.3148193359375,1308.6549072265625,873.2714233398438,1353.464599609375,959.1139526367188
0041.png,705.5377197265625,901.9431762695312,1099.7691650390625,952.6380004882812,1307.1572265625,871.5657348632812,1352.1014404296875,957.4789428710938
0042.png,705.5402221679688,901.94091796875,1099.7274169921875,952.6583251953125,1307.1343994140625,871.44970703125,1352.0928955078125,957.4824829101562
0043.png,704.2986450195312,899.5289306640625,1097.641845703125,951.176025390625,1305.5748291015625,869.7841186523438,1350.6304931640625,955.900634765625
0044.png,702.6522827148438,898.0984497070312,1096.5648193359375,949.7152709960938,1304.139892578125,868.6766357421875,1349.1129150390625,954.5403442382812
0045.png,701.2465209960938,897.5048217773438,1095.269287109375,949.22216796875,1302.88818359375,867.88037109375,1347.799072265625,953.9493408203125
0046.png,699.8798828125,896.8661499023438,1094.3282470703125,949.0621337890625,1301.9984130859375,867.7567749023438,1346.7464599609375,953.728515625
0047.png,699.8806762695312,896.8648681640625,1094.2886962890625,949.1014404296875,1302.0062255859375,867.7517700195312,1346.74267578125,953.7241821289062
0048.png,699.107666015625,896.1963500976562,1093.1669921875,949.1134643554688,1300.5604248046875,867.8505859375,1345.5264892578125,953.72509765625
0049.png,697.9989013671875,896.097900390625,1092.075439453125,949.151123046875,1299.4580078125,868.00537109375,1344.2548828125,953.9932250976562
0050.png,697.2421875,895.890625,1091.7030029296875,949.181884765625,1299.1156005859375,868.1692504882812,1343.9595947265625,954.1490478515625
0051.png,697.4071655273438,896.046142578125,1092.1400146484375,949.1799926757812,1299.2476806640625,868.2269287109375,1344.6614990234375,954.122802734375
0052.png,697.4071655273438,896.046142578125,1092.1400146484375,949.1799926757812,1299.2476806640625,868.2269287109375,1344.66162109375,954.1227416992188
0053.png,697.9721069335938,895.947021484375,1092.818115234375,949.5870971679688,1299.84765625,868.31640625,1345.4503173828125,954.4984130859375
0054.png,698.201904296875,896.294189453125,1093.307861328125,950.20849609375,1300.1669921875,869.0150146484375,1345.9271240234375,955.1011352539062
0055.png,698.7763671875,895.8778686523438,1093.5028076171875,950.1918334960938,1300.51171875,868.8723754882812,1346.4716796875,955.1058959960938
0056.png,698.9710693359375,896.5200805664062,1093.89404296875,949.88330078125,1301.1021728515625,868.7765502929688,1346.8355712890625,954.6589965820312
0057.png,698.9713134765625,896.5199584960938,1093.893310546875,949.8834228515625,1301.1007080078125,868.7726440429688,1346.8355712890625,954.6592407226562
0058.png,699.3222045898438,896.0728759765625,1094.50537109375,949.6812744140625,1301.286376953125,868.695556640625,1346.8419189453125,954.5286865234375
0059.png,699.2427978515625,896.359375,1094.0015869140625,949.4454345703125,1301.2125244140625,868.3898315429688,1346.837890625,954.1748657226562
0060.png,699.3416137695312,895.8724365234375,1093.7283935546875,948.866943359375,1301.3001708984375,868.1211547851562,1346.615234375,953.6359252929688
0061.png,698.6746215820312,896.7071533203125,1093.5506591796875,947.9677734375,1301.1092529296875,867.4217529296875,1346.04248046875,952.6876831054688
0062.png,698.6445922851562,896.607177734375,1093.41162109375,948.0352172851562,1301.078857421875,867.3538208007812,1346.0087890625,952.6905517578125
0063.png,698.2283935546875,895.2300415039062,1093.1644287109375,946.4871826171875,1300.7457275390625,866.1008911132812,1345.7672119140625,951.2344970703125
0064.png,697.9127807617188,893.6957397460938,1093.260986328125,945.0861206054688,1300.0794677734375,864.1392211914062,1345.427001953125,949.826171875
0065.png,697.58544921875,893.6174926757812,1092.8267822265625,943.96533203125,1299.99658203125,863.0984497070312,1345.1727294921875,948.643310546875
0066.png,697.146728515625,893.0713500976562,1092.9129638671875,943.07373046875,1299.6495361328125,861.9331665039062,1345.2191162109375,947.7512817382812
0067.png,697.146484375,893.07177734375,1092.91259765625,943.0736694335938,1299.640869140625,862.060302734375,1345.2197265625,947.7512817382812
0068.png,697.028076171875,892.3701782226562,1092.924560546875,942.5372314453125,1299.794677734375,861.738037109375,1345.0333251953125,947.324462890625
0069.png,696.9384765625,890.5706176757812,1092.6522216796875,941.1085815429688,1299.3282470703125,860.2318115234375,1344.8778076171875,945.8203735351562
0070.png,697.075439453125,889.5237426757812,1092.3359375,939.8056030273438,1299.2630615234375,858.707763671875,1344.7464599609375,944.5099487304688
0071.png,696.7528686523438,889.203857421875,1092.4901123046875,939.1685180664062,1298.9156494140625,857.8841552734375,1344.62890625,943.8756713867188
0072.png,696.7521362304688,889.2061157226562,1092.5023193359375,939.1646728515625,1298.9178466796875,857.8877563476562,1344.62890625,943.8756103515625
0073.png,696.8347778320312,888.3501586914062,1092.5166015625,939.3920288085938,1299.1492919921875,857.9654541015625,1344.6165771484375,944.2052001953125
0074.png,696.5061645507812,889.54150390625,1092.4339599609375,940.4547729492188,1298.91650390625,858.3974609375,1344.6016845703125,945.3732299804688
0075.png,696.6470336914062,890.7249145507812,1092.00048828125,942.1639404296875,1298.91845703125,860.0985717773438,1344.3355712890625,947.0130615234375
0076.png,695.8777465820312,891.1712646484375,1091.3431396484375,943.356689453125,1298.4786376953125,861.6971435546875,1343.6298828125,948.2755126953125
0077.png,696.0371704101562,890.81103515625,1091.4158935546875,943.3905639648438,1298.4903564453125,861.7405395507812,1343.6378173828125,948.287353515625
0078.png,695.5574951171875,893.5709228515625,1090.33203125,945.0723876953125,1297.507080078125,863.4398803710938,1342.7314453125,949.80078125
0079.png,694.742431640625,895.3185424804688,1089.5281982421875,947.7692260742188,1296.7174072265625,866.3928833007812,1341.9215087890625,952.617431640625
0080.png,693.3069458007812,898.564208984375,1088.3944091796875,951.0499267578125,1295.3092041015625,869.6212158203125,1340.59716796875,955.949462890625
0081.png,691.8779907226562,901.1881713867188,1086.6866455078125,953.3768920898438,1293.6546630859375,872.0039672851562,1338.96630859375,958.3624877929688
0082.png,691.8779296875,901.1856079101562,1086.947021484375,953.3562622070312,1293.654296875,872.0032348632812,1338.9658203125,958.3624877929688
0083.png,689.3685913085938,903.7803955078125,1084.558837890625,954.2891235351562,1291.263671875,872.8831787109375,1336.4697265625,959.3056030273438
0084.png,686.9215087890625,904.178466796875,1081.972412109375,954.4319458007812,1288.248779296875,873.0109252929688,1333.684814453125,959.3482666015625
0085.png,683.9644165039062,904.5971069335938,1078.973876953125,954.4857788085938,1285.615478515625,872.9912719726562,1330.690673828125,959.3486328125
0086.png,681.055908203125,905.1072387695312,1075.9576416015625,954.8491821289062,1282.56884765625,873.1014404296875,1327.911376953125,959.5863647460938
0087.png,681.0527954101562,905.3848876953125,1075.9464111328125,954.8571166992188,1282.566162109375,873.0784912109375,1327.911376953125,959.5853881835938
